#timestamp x y z qw qx qy qz
1779938696.522229 505980.356096 2495851.494382 18.957781 -0.199344 -0.003346 -0.001759 0.979922
1779938696.622231 505980.356312 2495851.495701 18.957828 -0.199193 -0.003509 -0.001807 0.979952
1779938696.715044 505980.356744 2495851.496886 18.957858 -0.199065 -0.003603 -0.001913 0.979978
1779938696.815057 505980.357672 2495851.498122 18.958063 -0.199044 -0.003674 -0.001958 0.979982
1779938696.922259 505980.359118 2495851.499265 18.958318 -0.199109 -0.003681 -0.001987 0.979968
1779938697.022259 505980.360713 2495851.500188 18.958620 -0.199107 -0.003733 -0.001869 0.979969
1779938697.122260 505980.362296 2495851.500890 18.959010 -0.199284 -0.003612 -0.001779 0.979933
1779938697.222261 505980.363906 2495851.501339 18.959499 -0.199395 -0.003485 -0.001633 0.979912
1779938697.322262 505980.365596 2495851.501594 18.960015 -0.199359 -0.003286 -0.001533 0.979920
1779938697.422263 505980.367574 2495851.501815 18.960618 -0.199364 -0.002935 -0.001574 0.979920
1779938697.522265 505980.369473 2495851.503856 18.961464 -0.197001 -0.001338 0.000583 0.980402
1779938697.622265 505980.369465 2495851.503429 18.961728 -0.193181 -0.003128 -0.001655 0.981157
1779938697.722265 505980.360391 2495851.502837 18.963528 -0.128878 -0.001247 -0.003794 0.991652
1779938697.822266 505980.336200 2495851.494604 18.991542 -0.094574 0.038946 0.000300 0.994756
1779938697.922267 505980.296358 2495851.474458 19.045509 -0.095878 0.077542 0.033360 0.991807
1779938698.022267 505980.245056 2495851.444510 19.096047 -0.093605 0.094338 0.073322 0.988414
1779938698.115652 505980.190034 2495851.416350 19.142666 -0.095947 0.094218 0.103833 0.985462
1779938698.216455 505980.126204 2495851.397116 19.203244 -0.097435 0.068271 0.150311 0.981454
1779938698.316573 505980.061495 2495851.391264 19.273888 -0.110281 0.039481 0.197212 0.973338
1779938698.423348 505979.988672 2495851.394178 19.343217 -0.112693 0.023102 0.210442 0.970815
1779938698.523350 505979.916859 2495851.407065 19.392589 -0.125581 -0.000237 0.198272 0.972069
1779938698.623351 505979.841124 2495851.428086 19.420928 -0.151755 -0.035738 0.183689 0.970542
1779938698.723353 505979.762311 2495851.457563 19.428956 -0.172885 -0.055586 0.171003 0.968390
1779938698.823354 505979.679266 2495851.495784 19.432651 -0.152135 -0.052100 0.158447 0.974184
1779938698.923354 505979.598641 2495851.546106 19.449904 -0.145850 -0.035217 0.152900 0.976785
1779938699.023355 505979.528167 2495851.607610 19.473629 -0.128799 -0.046252 0.140600 0.980563
1779938699.123355 505979.457452 2495851.681655 19.483691 -0.140060 -0.039642 0.119161 0.982147
